dataset_file,tasks_count,distribution,objective,count_vm_1,count_vm_2,count_vm_3,count_vm_4,total_energy_consumption,simulation_time,all_vm_count,all_vm_mips,all_vm_cores,score,diff_energy_pct,diff_time_pct,diff_target_pct
2500_100_0.csv,2500,100/0,b,3,3,4,7,0.44,5.77,17,178000,56,18.87754,0.0,19.709544,36.923077
2500_90_10.csv,2500,90/10,b,10,1,5,8,0.5,5.25,24,212000,74,23.916874,4.166667,9.375,58.208955
2500_80_20.csv,2500,80/20,b,1,5,8,6,0.54,5.86,20,214000,68,26.916046,3.846154,21.829522,55.072464
2500_70_30.csv,2500,70/30,b,5,1,8,6,0.59,6.62,20,206000,68,30.774586,3.508772,37.344398,51.470588
2500_60_40.csv,2500,60/40,b,1,4,10,4,0.64,7.27,19,202000,66,33.344541,4.918033,50.829876,44.285714
2500_50_50.csv,2500,50/50,b,1,2,12,5,0.67,6.87,20,234000,74,33.770983,3.076923,42.236025,56.0
2500_40_60.csv,2500,40/60,b,2,1,14,3,0.72,7.59,20,224000,74,31.48736,2.857143,53.333333,38.271605
2500_30_70.csv,2500,30/70,b,2,3,9,8,0.76,7.19,22,252000,78,31.228915,1.333333,45.841785,46.511628
2500_20_80.csv,2500,20/80,b,2,1,13,7,0.8,7.04,23,276000,86,32.621128,3.896104,43.96728,50.0
2500_10_90.csv,2500,10/90,b,1,2,11,10,0.83,6.78,24,302000,90,31.291816,0.0,39.793814,54.081633
2500_0_100.csv,2500,0/100,b,1,1,15,7,0.87,7.17,24,298000,92,30.702315,0.0,46.028513,46.078431
5000_100_0.csv,5000,100/0,b,3,12,1,6,0.94,11.34,22,162000,58,11.005537,9.302326,15.714286,8.0
5000_90_10.csv,5000,90/10,b,2,10,4,6,1.02,11.29,22,188000,64,13.215556,8.510638,15.086646,16.049383
5000_80_20.csv,5000,80/20,b,1,4,8,7,1.04,10.88,20,226000,70,14.71681,1.960784,10.794297,31.395349
5000_70_30.csv,5000,70/30,b,1,3,9,5,1.14,13.25,18,202000,64,16.298598,2.702703,35.204082,10.989011
5000_60_40.csv,5000,60/40,b,1,2,12,5,1.22,12.43,20,234000,74,15.922047,0.826446,26.321138,20.618557
5000_50_50.csv,5000,50/50,b,1,1,15,3,1.31,13.41,20,234000,76,17.822919,2.34375,36.419125,14.705882
5000_40_60.csv,5000,40/60,b,2,1,13,7,1.39,12.22,23,276000,86,17.375424,1.459854,24.060914,26.605505
5000_30_70.csv,5000,30/70,b,1,1,16,7,1.47,11.61,25,310000,96,17.424242,1.37931,17.272727,33.62069
5000_20_80.csv,5000,20/80,b,1,1,16,5,1.57,13.66,23,278000,88,16.63829,1.290323,37.424547,11.2
5000_10_90.csv,5000,10/90,b,1,1,15,7,1.65,13.49,24,298000,92,17.228318,1.851852,36.954315,12.878788
5000_0_100.csv,5000,0/100,b,2,2,10,12,1.73,13.1,26,324000,96,16.556233,1.764706,32.189707,15.714286
7500_100_0.csv,7500,100/0,b,4,12,1,7,1.39,15.27,24,180000,64,8.54127,8.59375,3.106009,13.924051
7500_90_10.csv,7500,90/10,b,6,3,4,9,1.45,15.31,22,216000,70,9.64675,2.836879,3.376097,22.727273
7500_80_20.csv,7500,80/20,b,1,5,8,6,1.58,17.04,20,214000,68,10.94485,3.947368,15.057394,13.829787
7500_70_30.csv,7500,70/30,b,1,5,8,7,1.71,17.28,21,230000,72,11.850371,3.636364,16.91475,15.0
7500_60_40.csv,7500,60/40,b,1,1,16,4,1.81,16.65,22,262000,84,11.965134,1.117318,12.348178,22.429907
7500_50_50.csv,7500,50/50,b,1,1,15,4,1.94,18.7,21,250000,80,11.986545,2.105263,26.095752,7.758621
7500_40_60.csv,7500,40/60,b,1,1,15,7,2.07,16.95,24,298000,92,12.941575,2.475248,14.218329,22.131148
7500_30_70.csv,7500,30/70,b,1,2,11,10,2.19,17.84,24,302000,90,12.156679,1.860465,20.215633,14.393939
7500_20_80.csv,7500,20/80,b,1,3,10,12,2.32,17.45,26,326000,96,12.17633,1.754386,17.508418,17.266187
7500_10_90.csv,7500,10/90,b,1,3,10,12,2.46,18.46,26,326000,96,12.00857,2.074689,23.066667,10.884354
7500_0_100.csv,7500,0/100,b,1,3,10,13,2.57,18.52,27,342000,100,11.739259,1.181102,23.714095,10.322581
10000_100_0.csv,10000,100/0,b,8,9,1,7,1.87,20.83,25,176000,66,8.829423,10.0,5.095863,11.392405
10000_90_10.csv,10000,90/10,b,2,10,4,6,2.02,22.46,22,188000,64,9.19907,8.602151,13.377082,5.617978
10000_80_20.csv,10000,80/20,b,3,3,3,11,2.04,21.3,20,230000,68,9.172148,1.492537,7.467205,18.556701
10000_70_30.csv,10000,70/30,b,2,1,14,5,2.24,20.91,22,256000,82,9.913539,2.283105,5.552751,21.904762
