dataset_file,tasks_count,distribution,objective,count_vm_1,count_vm_2,count_vm_3,count_vm_4,total_energy_consumption,simulation_time,all_vm_count,all_vm_mips,all_vm_cores,score,diff_energy_pct,diff_time_pct,diff_target_pct
2500_100_0.csv,2500,100/0,c,1,4,2,10,0.44,5.29,17,202000,58,10.19479,0.0,9.751037,20.833333
2500_90_10.csv,2500,90/10,c,1,1,2,9,0.48,6.91,13,174000,48,17.683081,0.0,43.958333,9.090909
2500_80_20.csv,2500,80/20,c,1,1,1,15,0.52,5.22,18,258000,68,21.023121,0.0,8.523909,54.545455
2500_70_30.csv,2500,70/30,c,1,1,1,11,0.57,7.45,14,194000,52,24.248711,0.0,54.564315,18.181818
2500_60_40.csv,2500,60/40,c,1,1,2,13,0.61,6.61,17,238000,64,23.490088,0.0,37.136929,33.333333
2500_50_50.csv,2500,50/50,c,1,1,1,15,0.66,6.65,18,258000,68,26.962096,1.538462,37.681159,41.666667
2500_40_60.csv,2500,40/60,c,1,1,2,13,0.7,7.51,17,238000,64,24.931365,0.0,51.717172,23.076923
2500_30_70.csv,2500,30/70,c,1,1,1,16,0.75,7.09,19,274000,72,24.128272,0.0,43.813387,28.571429
2500_20_80.csv,2500,20/80,c,1,1,2,14,0.77,7.82,18,254000,68,24.417178,0.0,59.9182,13.333333
2500_10_90.csv,2500,10/90,c,1,1,1,21,0.84,6.14,24,354000,92,27.045364,1.204819,26.597938,53.333333
2500_0_100.csv,2500,0/100,c,1,1,2,18,0.87,7.11,22,318000,84,25.352172,0.0,44.806517,31.25
5000_100_0.csv,5000,100/0,c,1,4,2,10,0.86,10.28,17,202000,58,5.478807,0.0,4.897959,11.538462
5000_90_10.csv,5000,90/10,c,2,2,2,12,0.94,10.21,18,228000,64,9.051465,0.0,4.077472,23.076923
5000_80_20.csv,5000,80/20,c,2,1,4,11,1.02,10.99,18,232000,66,9.923868,0.0,11.91446,17.857143
5000_70_30.csv,5000,70/30,c,1,1,2,12,1.11,12.81,16,222000,60,11.387521,0.0,30.714286,3.448276
5000_60_40.csv,5000,60/40,c,1,1,1,17,1.22,10.92,20,290000,76,12.822908,0.826446,10.97561,26.666667
5000_50_50.csv,5000,50/50,c,1,1,2,16,1.29,11.59,20,286000,76,12.478541,0.78125,17.904374,18.75
5000_40_60.csv,5000,40/60,c,1,1,1,19,1.39,11.18,22,322000,84,12.830601,1.459854,13.502538,23.529412
5000_30_70.csv,5000,30/70,c,1,1,1,19,1.46,11.8,22,322000,84,12.182747,0.689655,19.191919,16.666667
5000_20_80.csv,5000,20/80,c,1,1,1,23,1.55,10.46,26,386000,100,13.455508,0.0,5.231388,35.135135
5000_10_90.csv,5000,10/90,c,1,1,2,23,1.62,10.62,27,398000,104,13.716864,0.0,7.817259,33.333333
5000_0_100.csv,5000,0/100,c,1,1,2,23,1.71,11.15,27,398000,104,14.36695,0.588235,12.512614,30.0
7500_100_0.csv,7500,100/0,c,1,1,2,11,1.29,15.93,15,206000,56,4.015804,0.78125,7.562458,3.703704
7500_90_10.csv,7500,90/10,c,1,1,1,13,1.42,16.1,16,226000,60,5.520803,0.70922,8.710331,7.142857
7500_80_20.csv,7500,80/20,c,1,1,1,13,1.53,17.37,16,226000,60,5.981171,0.657895,17.285618,0.0
7500_70_30.csv,7500,70/30,c,1,1,1,14,1.65,17.6,17,242000,64,6.359946,0.0,19.079838,0.0
7500_60_40.csv,7500,60/40,c,2,1,4,13,1.79,17.01,20,264000,74,7.866952,0.0,14.777328,8.823529
7500_50_50.csv,7500,50/50,c,1,1,2,17,1.9,16.27,21,302000,80,6.940386,0.0,9.710047,11.111111
7500_40_60.csv,7500,40/60,c,1,1,2,18,2.02,16.42,22,318000,84,9.104522,0.0,10.6469,16.666667
7500_30_70.csv,7500,30/70,c,1,1,2,17,2.15,18.37,21,302000,80,9.683407,0.0,23.787062,5.263158
7500_20_80.csv,7500,20/80,c,1,1,1,19,2.28,18.36,22,322000,84,9.545455,0.0,23.636364,5.0
7500_10_90.csv,7500,10/90,c,1,1,1,19,2.41,19.4,22,322000,84,9.777778,0.0,29.333333,0.0
7500_0_100.csv,7500,0/100,c,1,1,1,24,2.55,16.53,27,402000,104,7.952674,0.393701,10.420842,13.043478
10000_100_0.csv,10000,100/0,c,2,2,2,10,1.7,21.29,16,196000,56,2.47225,0.0,7.416751,0.0
10000_90_10.csv,10000,90/10,c,1,1,2,12,1.86,21.41,16,222000,60,3.841668,0.0,8.076729,3.448276
10000_80_20.csv,10000,80/20,c,1,1,1,14,2.04,21.67,17,242000,64,5.83107,1.492537,9.334006,6.666667
10000_70_30.csv,10000,70/30,c,1,1,1,14,2.19,23.28,17,242000,64,5.838802,0.0,17.516406,0.0
10000_60_40.csv,10000,60/40,c,1,1,2,15,2.37,22.59,19,270000,72,5.610975,0.0,13.975782,2.857143
10000_50_50.csv,10000,50/50,c,1,1,2,17,2.52,21.58,21,302000,80,6.681997,0.0,8.934881,11.111111
10000_40_60.csv,10000,40/60,c,1,1,2,18,2.71,22.03,22,318000,84,7.417393,0.743494,10.982368,10.526316
10000_30_70.csv,10000,30/70,c,1,1,2,21,2.87,20.39,25,366000,96,7.590726,0.0,2.772177,20.0
10000_20_80.csv,10000,20/80,c,1,1,2,19,3.04,23.57,23,334000,88,6.803918,0.0,18.086172,2.325581
10000_10_90.csv,10000,10/90,c,1,1,2,23,3.19,20.86,27,398000,104,5.938317,0.0,4.771472,13.043478
10000_0_100.csv,10000,0/100,c,1,1,1,24,3.38,21.98,27,402000,104,6.513649,1.197605,10.01001,8.333333
12500_100_0.csv,12500,100/0,c,2,2,2,10,2.12,26.56,16,196000,56,2.351202,0.0,7.053607,0.0
12500_90_10.csv,12500,90/10,c,1,1,2,12,2.31,26.56,16,222000,60,2.379992,0.0,7.139976,0.0
12500_80_20.csv,12500,80/20,c,1,5,1,12,2.54,27.02,19,226000,64,2.939992,0.0,8.819976,0.0
12500_70_30.csv,12500,70/30,c,1,1,2,14,2.74,27.68,18,254000,68,3.855972,0.0,11.567916,0.0
12500_60_40.csv,12500,60/40,c,1,1,2,15,2.92,27.83,19,270000,72,4.072581,0.0,12.217742,0.0
12500_50_50.csv,12500,50/50,c,1,1,2,17,3.12,26.64,21,302000,80,4.169845,0.0,7.246377,5.263158
12500_40_60.csv,12500,40/60,c,1,1,2,18,3.37,27.43,22,318000,84,5.127431,0.0,10.382294,5.0
12500_30_70.csv,12500,30/70,c,1,1,2,18,3.55,28.83,22,318000,84,5.354267,0.0,16.062802,0.0
12500_20_80.csv,12500,20/80,c,1,1,1,20,3.8,29.21,23,338000,88,5.848424,0.0,17.545272,0.0
12500_10_90.csv,12500,10/90,c,1,1,1,24,4.02,26.1,27,402000,104,4.397197,0.5,4.358257,8.333333
12500_0_100.csv,12500,0/100,c,1,1,1,24,4.24,27.52,27,402000,104,5.172958,0.952381,10.566493,4.0
15000_100_0.csv,15000,100/0,c,1,1,2,11,2.55,31.53,15,206000,56,1.911469,0.0,5.734406,0.0
15000_90_10.csv,15000,90/10,c,1,1,2,12,2.78,31.92,16,222000,60,2.347418,0.0,7.042254,0.0
15000_80_20.csv,15000,80/20,c,1,1,2,13,3.01,32.38,17,238000,64,2.873756,0.0,8.621268,0.0
15000_70_30.csv,15000,70/30,c,1,1,2,14,3.26,32.9,18,254000,68,3.430551,0.0,10.291653,0.0
15000_60_40.csv,15000,60/40,c,1,1,1,16,3.53,33.29,19,274000,72,4.056287,0.569801,11.599061,0.0
15000_50_50.csv,15000,50/50,c,1,1,2,17,3.78,32.33,21,302000,80,4.523789,0.0,8.308208,5.263158
15000_40_60.csv,15000,40/60,c,1,1,2,18,4.0,32.54,22,318000,84,3.865675,0.0,9.158001,2.439024
15000_30_70.csv,15000,30/70,c,1,1,1,21,4.3,31.65,24,354000,92,3.723908,0.702576,5.923695,4.545455
15000_20_80.csv,15000,20/80,c,1,1,1,21,4.57,33.57,24,354000,92,4.349268,0.660793,12.38701,0.0
15000_10_90.csv,15000,10/90,c,1,1,1,24,4.8,31.14,27,402000,104,4.206668,0.0,4.286671,8.333333
15000_0_100.csv,15000,0/100,c,1,1,2,23,5.04,32.91,27,398000,104,4.591061,0.0,9.773182,4.0
17500_100_0.csv,17500,100/0,c,1,1,2,11,2.96,36.53,15,206000,56,1.63699,0.0,4.910971,0.0
